statename,ccode,leader,begyr,begmo,begday,leaderpos,affiliation,solschange,solsminchinit,solsminchdur,interim,archigosobsid,version
Germany,255,Papen,1932,6,1,Chancellor,Z/DNVP,0,1,0,0,GMY-1932-1,5
Germany,255,Schleicher,1932,12,3,Chancellor,Non-Party/DNVP/LV,1,0,0,0,GMY-1932-2,5
Germany,255,Hitler,1933,1,30,Chancellor,NSDAP,1,0,0,0,GMY-1933,5
Germany,255,Doenitz,1945,4,30,Chancellor,Mil,0,0,0,0,GMY-1945,5
Germany,255,Kohl,,,,Chancellor,CDU/FPD,,,0,0,GFR-1982,5
Germany,255,Schroeder,1998,10,27,Chancellor,SPD/Greens,1,0,0,0,,5
Germany,255,Angela Dorothea Merkel,2005,11,22,Chancellor,"CDU/SPD, CDU/FDP, CDU/SPD",1,0,2,0,,5
German Federal Republic,260,Adenauer,,,,Chancellor,"CDU/FDP/DP/GBHE, CDU/FDP/DP, CDU/DP, CDU, CDU/FDP, CDU, CDU/FDP",1,,0,0,GFR-1949,5
German Federal Republic,260,Erhard,1963,10,16,Chancellor,"CDU/FDP, CDU",0,0,1,0,GFR-1963,5
German Federal Republic,260,Kiesinger,1966,12,1,Chancellor,CDU/SPD,0,1,0,0,GFR-1966,5
German Federal Republic,260,Brandt,1969,10,22,Chancellor,SPD/FDP,1,0,0,0,GFR-1969,5
German Federal Republic,260,Schmidt,1974,5,16,Chancellor,"SPD/FDP, SPD",0,0,1,0,GFR-1974,5
German Federal Republic,260,Kohl,1982,10,1,Chancellor,CDU/FDP,1,0,0,0,GFR-1982,5
German Democratic Republic,265,Ulbricht,,,,General Secretary,SED,,,0,0,GDR-1950,5
German Democratic Republic,265,Honecker,1971,5,3,General Secretary,SED,0,0,0,0,GDR-1971,5
German Democratic Republic,265,Krenz,1989,10,18,General Secretary,SED,0,0,0,0,GDR-1989-1,5
German Democratic Republic,265,Gysi,1989,12,9,General Secretary,SED-PDS,0,0,0,0,GDR-1989-2,5
Poland,290,Pilsudski,,,,Chief of State,Mil,,,0,0,POL-1918-2,5
Poland,290,Narutowicz,1922,12,9,President,Non-Party,1,0,0,0,POL-1922-1,5
Poland,290,Wojciechowski,1922,12,20,President,Non-Party,1,0,0,0,POL-1922-2,5
Poland,290,Pilsudski,1926,5,12,de facto ruler,Mil,1,0,0,0,POL-1926,5
Poland,290,Smigly-Rydz,1935,5,12,Inspector General of the Armed Forces,Mil,0,0,0,0,POL-1935,5
Poland,290,Bierut,,,,Secretary-General of the Polish Workers' Party,"PPR, PZPR",,,0,0,POL-1944,5
Poland,290,Ochab,1956,3,20,Secretary-General of the Polish Workers' Party,PZPR,0,0,0,0,POL-1956-1,5
Poland,290,Gomulka,1956,10,21,Secretary-General of the Polish Workers' Party,PZPR,0,0,0,0,POL-1956-2,5
Poland,290,Gierek,1970,12,20,Secretary-General of the Polish Workers' Party,PZPR,0,0,0,0,POL-1970,5
Poland,290,Kania,1980,9,6,Secretary-General of the Polish Workers' Party,PZPR,0,0,0,0,POL-1980,5
Poland,290,Jaruzelski,1981,10,18,Secretary-General of the Polish Workers' Party,PZPR,0,0,0,0,POL-1981,5
Poland,290,Walesa,1990,12,22,President,Soldr,1,0,0,0,POL-1990,5
Poland,290,Kwasniewski,1995,12,23,President,"SdRP, SLD",1,0,0,0,POL-1995,5
Poland,290,Lech Aleksander Kaczynski,2005,12,23,President,PiS,1,0,0,0,POL-2005,5
Poland,290,Bronislaw Maria Komorowski,2010,4,10,President,PO,0,0,0,1,POL-2010-1,5
Poland,290,Bogdan Michal Borusewicz,2010,7,8,President,Non-Party,0,0,0,1,POL-2010-2,5
Poland,290,Grzegorz Juliusz Schetyna,2010,7,8,President,PO,0,0,0,1,POL-2010-3,5
Poland,290,Bronislaw Maria Komorowski,2010,8,6,President,PO,1,0,0,0,POL-2010-4,5
Poland,290,Andrzej Sebastian Duda,2015,8,6,President,PiS,1,0,0,0,,5
Austria,305,Renner,,,,Chancellor,SDAP/CS,,,0,0,AUS-1918,5
Austria,305,Mayr,1920,7,7,Chancellor,"CS/GV/SDAP, CS/GV",1,0,1,0,AUS-1920,5
Austria,305,Schober,1921,6,21,Chancellor,"Non-Party/CS/GV, Non-Party/CS",1,0,1,0,AUS-1921,5
Austria,305,Seipel,1922,5,31,Chancellor,CS/GV,1,0,0,0,AUS-1922,5
Austria,305,Ramek,1924,11,19,Chancellor,CS/GV,0,0,0,0,AUS-1924,5
Austria,305,Seipel,1926,10,20,Chancellor,CS/GV/L,0,1,0,0,AUS-1926,5
Austria,305,Streeruwitz,1929,5,4,Chancellor,CS/GV/L,0,0,0,0,AUS-1929-1,5
Austria,305,Schober,1929,9,26,Chancellor,Non-Party/CS/GV,1,0,0,0,AUS-1929-2,5
Austria,305,Vaugoin,1930,9,30,Chancellor,CS/HB,1,0,0,0,AUS-1930-1,5
Austria,305,Ender,1930,12,4,Chancellor,CS/GV/L,0,1,0,0,AUS-1930-2,5
Austria,305,Buresch,1931,6,20,Chancellor,CS/GV/L,0,0,0,0,AUS-1931,5
Austria,305,Dollfuss,1932,5,20,Chancellor,"CS/L/HB, VF",1,0,0,0,AUS-1932,5
Austria,305,Schuschnigg,1934,7,30,Chancellor,VF,0,0,0,0,AUS-1934,5
Austria,305,Raab,,,,Chancellor,OVP/SPO,1,,0,0,AUS-1953,5
Austria,305,Gorbach,1961,4,11,Chancellor,OVP/SPO,0,0,0,0,AUS-1961,5
Austria,305,Klaus,1964,4,2,Chancellor,"OVP/SPO, OVP",0,0,1,0,AUS-1964,5
Austria,305,Kreisky,1970,4,20,Chancellor,SPO,1,0,0,0,AUS-1970,5
Austria,305,Sinowatz,1983,5,24,Chancellor,SPO/FPO,0,1,0,0,AUS-1983,5
Austria,305,Vranitzky,1986,6,16,Chancellor,"SPO/FPO, SPO/OVP",0,0,1,0,AUS-1986,5
Austria,305,Klima,1997,1,28,Chancellor,SPO/OVP,0,0,0,0,AUS-1997,5
Austria,305,Schuessel,2000,2,5,Chancellor,"OVP/FPO, OVP/BZO",1,0,1,0,AUS-2000,5
Austria,305,Gusenbauer,2007,1,11,Chancellor,SPO/OVP,1,0,0,0,AUS-2007,5
Austria,305,Werner Faymann,2008,12,2,Chancellor,SPO/OVP,0,0,0,0,AUS-2008,5
Austria,305,Reinhold Mitterlehner,2016,5,9,Chancellor,OVP/SPO,0,0,0,1,,5
Austria,305,Christian Kern,2016,5,17,Chancellor,SPO/OVP,0,0,0,0,,5
Austria,305,Sebastian Kurz,2017,12,18,Chancellor,OVP/FPO,1,0,0,0,,5
Hungary,310,Karolyi,,,,PM,F48,,,0,0,HUN-1918,5
